Alcaldía,Fecha,Predicción de Delitos
ALVARO OBREGON,2024-03-04,39
ALVARO OBREGON,2024-03-05,39
ALVARO OBREGON,2024-03-06,39
ALVARO OBREGON,2024-03-07,39
ALVARO OBREGON,2024-03-08,39
ALVARO OBREGON,2024-03-09,39
ALVARO OBREGON,2024-03-10,39
ALVARO OBREGON,2024-03-11,39
ALVARO OBREGON,2024-03-12,39
ALVARO OBREGON,2024-03-13,39
ALVARO OBREGON,2024-03-14,39
ALVARO OBREGON,2024-03-15,39
ALVARO OBREGON,2024-03-16,39
ALVARO OBREGON,2024-03-17,39
ALVARO OBREGON,2024-03-18,39
ALVARO OBREGON,2024-03-19,39
ALVARO OBREGON,2024-03-20,39
ALVARO OBREGON,2024-03-21,39
ALVARO OBREGON,2024-03-22,39
ALVARO OBREGON,2024-03-23,39
ALVARO OBREGON,2024-03-24,39
ALVARO OBREGON,2024-03-25,39
ALVARO OBREGON,2024-03-26,39
ALVARO OBREGON,2024-03-27,39
ALVARO OBREGON,2024-03-28,39
ALVARO OBREGON,2024-03-29,40
ALVARO OBREGON,2024-03-30,40
ALVARO OBREGON,2024-03-31,40
ALVARO OBREGON,2024-04-01,40
ALVARO OBREGON,2024-04-02,40
ALVARO OBREGON,2024-04-03,40
ALVARO OBREGON,2024-04-04,40
ALVARO OBREGON,2024-04-05,40
ALVARO OBREGON,2024-04-06,40
ALVARO OBREGON,2024-04-07,40
ALVARO OBREGON,2024-04-08,40
ALVARO OBREGON,2024-04-09,40
ALVARO OBREGON,2024-04-10,40
ALVARO OBREGON,2024-04-11,40
ALVARO OBREGON,2024-04-12,40
ALVARO OBREGON,2024-04-13,40
ALVARO OBREGON,2024-04-14,40
ALVARO OBREGON,2024-04-15,40
ALVARO OBREGON,2024-04-16,40
ALVARO OBREGON,2024-04-17,40
ALVARO OBREGON,2024-04-18,40
ALVARO OBREGON,2024-04-19,40
ALVARO OBREGON,2024-04-20,40
ALVARO OBREGON,2024-04-21,40
ALVARO OBREGON,2024-04-22,40
ALVARO OBREGON,2024-04-23,40
ALVARO OBREGON,2024-04-24,40
ALVARO OBREGON,2024-04-25,40
ALVARO OBREGON,2024-04-26,40
ALVARO OBREGON,2024-04-27,40
ALVARO OBREGON,2024-04-28,40
ALVARO OBREGON,2024-04-29,40
ALVARO OBREGON,2024-04-30,40
ALVARO OBREGON,2024-05-01,40
ALVARO OBREGON,2024-05-02,40
ALVARO OBREGON,2024-05-03,40
ALVARO OBREGON,2024-05-04,40
ALVARO OBREGON,2024-05-05,40
ALVARO OBREGON,2024-05-06,40
ALVARO OBREGON,2024-05-07,40
ALVARO OBREGON,2024-05-08,40
ALVARO OBREGON,2024-05-09,40
ALVARO OBREGON,2024-05-10,40
ALVARO OBREGON,2024-05-11,40
ALVARO OBREGON,2024-05-12,40
ALVARO OBREGON,2024-05-13,40
ALVARO OBREGON,2024-05-14,40
ALVARO OBREGON,2024-05-15,40
ALVARO OBREGON,2024-05-16,40
ALVARO OBREGON,2024-05-17,40
ALVARO OBREGON,2024-05-18,40
ALVARO OBREGON,2024-05-19,40
ALVARO OBREGON,2024-05-20,40
ALVARO OBREGON,2024-05-21,40
ALVARO OBREGON,2024-05-22,40
ALVARO OBREGON,2024-05-23,40
ALVARO OBREGON,2024-05-24,40
ALVARO OBREGON,2024-05-25,40
ALVARO OBREGON,2024-05-26,40
ALVARO OBREGON,2024-05-27,40
ALVARO OBREGON,2024-05-28,40
ALVARO OBREGON,2024-05-29,40
ALVARO OBREGON,2024-05-30,40
ALVARO OBREGON,2024-05-31,40
ALVARO OBREGON,2024-06-01,40
ALVARO OBREGON,2024-06-02,40
ALVARO OBREGON,2024-06-03,40
ALVARO OBREGON,2024-06-04,40
ALVARO OBREGON,2024-06-05,40
ALVARO OBREGON,2024-06-06,40
ALVARO OBREGON,2024-06-07,41
ALVARO OBREGON,2024-06-08,41
ALVARO OBREGON,2024-06-09,41
ALVARO OBREGON,2024-06-10,41
ALVARO OBREGON,2024-06-11,41
ALVARO OBREGON,2024-06-12,41
ALVARO OBREGON,2024-06-13,41
ALVARO OBREGON,2024-06-14,41
ALVARO OBREGON,2024-06-15,41
ALVARO OBREGON,2024-06-16,41
ALVARO OBREGON,2024-06-17,41
ALVARO OBREGON,2024-06-18,41
ALVARO OBREGON,2024-06-19,41
ALVARO OBREGON,2024-06-20,41
ALVARO OBREGON,2024-06-21,41
ALVARO OBREGON,2024-06-22,41
ALVARO OBREGON,2024-06-23,41
ALVARO OBREGON,2024-06-24,41
ALVARO OBREGON,2024-06-25,41
ALVARO OBREGON,2024-06-26,41
ALVARO OBREGON,2024-06-27,41
ALVARO OBREGON,2024-06-28,41
VENUSTIANO CARRANZA,2024-01-01,31
VENUSTIANO CARRANZA,2024-01-02,32
VENUSTIANO CARRANZA,2024-01-03,33
VENUSTIANO CARRANZA,2024-01-04,34
VENUSTIANO CARRANZA,2024-01-05,35
VENUSTIANO CARRANZA,2024-01-06,33
VENUSTIANO CARRANZA,2024-01-07,32
VENUSTIANO CARRANZA,2024-01-08,31
VENUSTIANO CARRANZA,2024-01-09,32
VENUSTIANO CARRANZA,2024-01-10,32
VENUSTIANO CARRANZA,2024-01-11,31
VENUSTIANO CARRANZA,2024-01-12,32
VENUSTIANO CARRANZA,2024-01-13,33
VENUSTIANO CARRANZA,2024-01-14,32
VENUSTIANO CARRANZA,2024-01-15,30
VENUSTIANO CARRANZA,2024-01-16,29
VENUSTIANO CARRANZA,2024-01-17,30
VENUSTIANO CARRANZA,2024-01-18,29
VENUSTIANO CARRANZA,2024-01-19,28
VENUSTIANO CARRANZA,2024-01-20,28
VENUSTIANO CARRANZA,2024-01-21,28
VENUSTIANO CARRANZA,2024-01-22,28
VENUSTIANO CARRANZA,2024-01-23,28
VENUSTIANO CARRANZA,2024-01-24,30
VENUSTIANO CARRANZA,2024-01-25,30
VENUSTIANO CARRANZA,2024-01-26,30
VENUSTIANO CARRANZA,2024-01-27,30
VENUSTIANO CARRANZA,2024-01-28,31
VENUSTIANO CARRANZA,2024-01-29,32
VENUSTIANO CARRANZA,2024-01-30,33
VENUSTIANO CARRANZA,2024-01-31,33
VENUSTIANO CARRANZA,2024-02-01,32
VENUSTIANO CARRANZA,2024-02-02,32
VENUSTIANO CARRANZA,2024-02-03,32
VENUSTIANO CARRANZA,2024-02-04,31
VENUSTIANO CARRANZA,2024-02-05,32
VENUSTIANO CARRANZA,2024-02-06,32
VENUSTIANO CARRANZA,2024-02-07,32
VENUSTIANO CARRANZA,2024-02-08,32
VENUSTIANO CARRANZA,2024-02-09,31
VENUSTIANO CARRANZA,2024-02-10,31
VENUSTIANO CARRANZA,2024-02-11,31
VENUSTIANO CARRANZA,2024-02-12,31
VENUSTIANO CARRANZA,2024-02-13,30
VENUSTIANO CARRANZA,2024-02-14,30
VENUSTIANO CARRANZA,2024-02-15,30
VENUSTIANO CARRANZA,2024-02-16,30
VENUSTIANO CARRANZA,2024-02-17,30
VENUSTIANO CARRANZA,2024-02-18,31
VENUSTIANO CARRANZA,2024-02-19,31
VENUSTIANO CARRANZA,2024-02-20,31
VENUSTIANO CARRANZA,2024-02-21,32
VENUSTIANO CARRANZA,2024-02-22,32
VENUSTIANO CARRANZA,2024-02-23,32
VENUSTIANO CARRANZA,2024-02-24,32
VENUSTIANO CARRANZA,2024-02-25,32
VENUSTIANO CARRANZA,2024-02-26,33
VENUSTIANO CARRANZA,2024-02-27,32
VENUSTIANO CARRANZA,2024-02-28,32
VENUSTIANO CARRANZA,2024-02-29,32
VENUSTIANO CARRANZA,2024-03-01,32
VENUSTIANO CARRANZA,2024-03-02,32
VENUSTIANO CARRANZA,2024-03-03,32
VENUSTIANO CARRANZA,2024-03-04,32
VENUSTIANO CARRANZA,2024-03-05,32
VENUSTIANO CARRANZA,2024-03-06,31
VENUSTIANO CARRANZA,2024-03-07,31
VENUSTIANO CARRANZA,2024-03-08,31
VENUSTIANO CARRANZA,2024-03-09,31
VENUSTIANO CARRANZA,2024-03-10,31
VENUSTIANO CARRANZA,2024-03-11,31
VENUSTIANO CARRANZA,2024-03-12,31
VENUSTIANO CARRANZA,2024-03-13,31
VENUSTIANO CARRANZA,2024-03-14,31
VENUSTIANO CARRANZA,2024-03-15,32
VENUSTIANO CARRANZA,2024-03-16,32
VENUSTIANO CARRANZA,2024-03-17,32
VENUSTIANO CARRANZA,2024-03-18,32
VENUSTIANO CARRANZA,2024-03-19,32
VENUSTIANO CARRANZA,2024-03-20,32
VENUSTIANO CARRANZA,2024-03-21,32
VENUSTIANO CARRANZA,2024-03-22,32
VENUSTIANO CARRANZA,2024-03-23,32
VENUSTIANO CARRANZA,2024-03-24,32
VENUSTIANO CARRANZA,2024-03-25,32
VENUSTIANO CARRANZA,2024-03-26,32
VENUSTIANO CARRANZA,2024-03-27,32
VENUSTIANO CARRANZA,2024-03-28,32
VENUSTIANO CARRANZA,2024-03-29,32
VENUSTIANO CARRANZA,2024-03-30,32
VENUSTIANO CARRANZA,2024-03-31,32
VENUSTIANO CARRANZA,2024-04-01,32
VENUSTIANO CARRANZA,2024-04-02,32
VENUSTIANO CARRANZA,2024-04-03,31
VENUSTIANO CARRANZA,2024-04-04,31
VENUSTIANO CARRANZA,2024-04-05,31
VENUSTIANO CARRANZA,2024-04-06,31
VENUSTIANO CARRANZA,2024-04-07,31
VENUSTIANO CARRANZA,2024-04-08,32
VENUSTIANO CARRANZA,2024-04-09,32
VENUSTIANO CARRANZA,2024-04-10,32
VENUSTIANO CARRANZA,2024-04-11,32
VENUSTIANO CARRANZA,2024-04-12,32
VENUSTIANO CARRANZA,2024-04-13,32
VENUSTIANO CARRANZA,2024-04-14,32
VENUSTIANO CARRANZA,2024-04-15,32
VENUSTIANO CARRANZA,2024-04-16,32
VENUSTIANO CARRANZA,2024-04-17,32
VENUSTIANO CARRANZA,2024-04-18,32
VENUSTIANO CARRANZA,2024-04-19,32
VENUSTIANO CARRANZA,2024-04-20,32
